JacksMask,Aces,Tens,AttachedTens,TenKingSmall,WinProb
0,1,0,0,0,0.0000
0,3,2,1,1,0.0600
0,0,3,0,0,0.0000
1,2,2,0,2,0.0000
8,1,2,0,0,0.0000
9,3,1,0,0,0.5400
1,4,1,1,0,0.7900
1,2,2,1,1,0.0000
11,0,0,0,0,0.0000
2,2,1,0,0,0.0000
0,3,2,2,0,0.0300
0,2,0,0,0,0.0000
4,2,2,1,0,0.0200
6,1,0,0,0,0.0000
2,2,1,1,0,0.0000
9,1,1,0,0,0.0000
0,1,3,1,1,0.0000
4,1,0,0,0,0.0000
1,0,2,0,0,0.0000
8,1,2,1,1,0.0000
10,1,2,0,1,0.0100
1,2,2,1,0,0.0000
11,1,1,0,0,0.0000
4,2,1,0,0,0.0000
14,0,1,0,0,0.0000
0,2,1,1,0,0.0000
8,3,1,1,1,0.2500
0,0,3,0,0,0.0000
10,2,1,1,0,0.5600
1,1,1,0,0,0.0000
0,2,3,1,0,0.0300
8,2,1,1,0,0.0100
5,1,1,0,1,0.0000
0,1,1,0,0,0.0000
0,2,0,0,0,0.0000
0,2,1,0,0,0.0000
2,2,3,1,1,0.0200
9,2,1,0,0,0.1200
1,2,1,1,0,0.0000
5,1,1,0,0,0.0000
0,1,3,1,1,0.0000
0,2,1,0,0,0.0000
5,1,1,0,0,0.0000
2,0,1,0,0,0.0000
4,1,2,0,0,0.0000
0,1,1,1,1,0.0000
8,2,3,2,0,0.2200
12,0,1,0,1,0.0000
1,0,1,0,1,0.0000
4,1,2,1,0,0.0000
6,1,2,0,0,0.0000
11,1,0,0,0,0.0000
8,2,0,0,0,0.0000
0,2,0,0,0,0.0000
0,0,2,0,1,0.0000
12,1,1,0,0,0.0200
4,1,1,0,0,0.0000
5,1,2,0,0,0.0000
9,2,1,1,0,0.7100
1,1,3,1,0,0.0000
0,1,2,1,1,0.0000
10,0,1,0,0,0.0000
14,0,3,0,0,0.0000
0,2,0,0,0,0.0000
1,1,1,0,0,0.0000
8,1,1,1,0,0.0000
0,1,2,0,1,0.0000
15,0,1,0,0,0.0000
1,2,1,1,0,0.0000
1,1,2,0,0,0.0000
8,0,0,0,0,0.0000
1,1,1,0,0,0.0000
0,1,1,0,0,0.0000
12,2,2,1,0,0.2900
8,0,1,0,0,0.0000
12,1,0,0,0,0.0000
0,1,2,0,0,0.0000
0,2,1,0,0,0.0000
0,0,1,0,1,0.0000
2,3,1,1,0,0.0200
2,1,1,0,0,0.0000
1,1,2,0,0,0.0000
0,3,1,1,1,0.0200
0,1,1,0,0,0.0000
14,1,2,0,0,0.0900
2,1,1,1,0,0.0000
0,0,2,0,0,0.0000
4,4,1,1,0,0.7000
1,1,2,1,0,0.0000
0,2,2,1,1,0.0000
9,2,2,2,0,0.8900
0,1,3,1,0,0.0000
0,1,1,0,1,0.0000
3,2,0,0,0,0.0000
10,2,1,0,0,0.0100
10,0,1,0,0,0.0000
1,1,0,0,0,0.0000
0,0,0,0,0,0.0000
1,2,0,0,0,0.0000
9,0,0,0,0,0.0000
2,2,0,0,0,0.0000
2,0,1,0,0,0.0000
11,0,1,0,0,0.0000
1,3,1,1,0,0.0700
0,1,2,1,0,0.0000
1,2,2,1,1,0.0000
12,1,2,0,0,0.0200
10,0,2,0,0,0.0000
2,1,3,1,1,0.0000
12,2,0,0,0,0.0000
1,0,0,0,0,0.0000
2,1,2,1,2,0.0000
4,2,2,1,0,0.0400
10,0,0,0,0,0.0000
2,0,2,0,0,0.0000
14,1,1,0,0,0.4300
0,1,2,1,0,0.0000
3,2,2,1,1,0.3000
1,1,1,0,0,0.0000
7,1,0,0,0,0.0000
0,1,0,0,0,0.0000
9,3,1,0,0,0.6300
11,1,2,1,0,0.8300
0,1,1,0,0,0.0000
8,2,1,1,0,0.0100
0,1,2,0,0,0.0000
8,0,1,0,0,0.0000
8,2,1,1,0,0.0000
11,1,1,0,0,0.0700
0,1,2,1,1,0.0000
13,2,2,2,0,1.0000
0,1,1,1,0,0.0000
2,1,3,0,1,0.0000
9,1,1,1,0,0.0000
1,0,0,0,0,0.0000
5,0,0,0,0,0.0000
13,0,0,0,0,0.0000
10,2,2,1,0,0.1900
5,1,2,0,0,0.0000
1,0,1,0,0,0.0000
0,3,0,0,0,0.0000
9,1,0,0,0,0.0000
0,0,2,0,1,0.0000
7,2,0,0,0,0.0000
1,2,2,1,0,0.0100
1,1,1,0,0,0.0000
6,1,0,0,0,0.0000
3,1,2,0,0,0.0100
3,1,2,1,0,0.0100
5,2,0,0,0,0.0000
0,2,1,0,1,0.0000
0,2,1,0,0,0.0000
3,0,0,0,0,0.0000
0,3,1,1,0,0.0000
8,0,0,0,0,0.0000
6,0,3,0,0,0.0000
2,0,0,0,0,0.0000
15,2,1,0,0,0.9300
8,1,1,0,0,0.0000
9,0,2,0,0,0.0000
10,0,3,0,1,0.0200
10,1,0,0,0,0.0000
4,1,0,0,0,0.0000
2,1,0,0,0,0.0000
0,2,1,0,0,0.0000
2,1,1,1,0,0.0000
11,2,1,1,0,0.1600
8,0,0,0,0,0.0000
0,2,1,0,0,0.0000
1,1,1,0,0,0.0000
8,2,0,0,0,0.0000
11,1,1,1,0,0.0100
2,0,1,0,0,0.0000
4,1,1,0,0,0.0000
13,1,1,1,0,0.0000
4,2,1,0,0,0.0000
0,0,2,0,2,0.0000
0,2,0,0,0,0.0000
6,1,1,0,0,0.0000
4,1,2,0,0,0.0000
8,1,0,0,0,0.0000
5,3,1,1,0,0.7100
2,0,2,0,0,0.0000
