InitHand                           , InitSkat  , FinalHand                          , SkatCards , ISkFull,       JacksMask,  CntJ,  Aces,  Tens, Att10, Blk10, MxLen,   TKS,   PostJacksMask, PCntJ, PAces, PTens, PAtt10, PBlk10, PMxLen,  PTKS, PSkFull, SkPts,  WinProb,  ProbGrand,  ProbClubs, ProbSpades,  ProbHearts,  ProbDiamonds, ProbNull, WonMask ,  MaxProb,  BestGame,   DurationMs
[SJ HJ DJ C8 SQ S8 S7 H9 DT D8]    , [C9 DQ]   , [SJ HJ DJ DT DQ D8 C9 SQ S8 S7]    , [C8 H9]   ,       0,             SHD,     3,     0,     1,     0,     0,     3,     0,             SHD,     3,     0,     1,      0,      0,      3,     0,       0,     0,   0.4000,     0.0000,     0.0000,     0.3000,      0.0000,        0.4000,   0.2000, ------  ,   0.4000,  Diamonds,     13814.94
[SJ DJ CA CK C9 SQ H9 DT DQ D9]    , [ST HT]   , [CA CK C9 ST SQ HT H9 DT DQ D9]    , [SJ DJ]   ,       2,              SD,     2,     1,     1,     0,     0,     3,     0,               -,     0,     1,     3,      0,      0,      3,     0,       0,     4,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13771.09
[CJ SJ HJ SQ HK H9 H8 DT DQ D7]    , [DK D8]   , [CJ SJ HJ HK H9 H8 DK DQ D8 D7]    , [SQ DT]   ,       0,             CSH,     3,     0,     1,     0,     0,     3,     0,             CSH,     3,     0,     0,      0,      0,      4,     0,       1,    13,   1.0000,     0.7000,     0.0000,     0.0000,      1.0000,        1.0000,   0.0500, G--HD-  ,   1.0000,    Hearts,     17260.11
[CA C8 C7 SQ S9 S8 H8 H7 DK D9]    , [HJ HT]   , [C8 C7 SQ S9 S8 HJ HT H8 H7 D9]    , [CA DK]   ,       1,               -,     0,     1,     0,     0,     0,     3,     0,               H,     1,     0,     1,      0,      0,      3,     0,       1,    15,   0.1000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1000, ------  ,   0.1000,      Null,     13491.48
[CK C9 ST SQ S9 S8 HA HT H7 DA]    , [S7 DQ]   , [ST SQ S9 S8 S7 HA HT H7 DA DQ]    , [CK C9]   ,       0,               -,     0,     2,     2,     1,     0,     4,     0,               -,     0,     2,     2,      1,      0,      5,     0,       0,     4,   0.3000,     0.0000,     0.0000,     0.3000,      0.0000,        0.0000,   0.0000, ------  ,   0.3000,    Spades,     13428.66
[SJ HJ CT CK C8 SK S8 S7 HK DK]    , [HQ DT]   , [CT CK C8 SK S8 S7 HK HQ DT DK]    , [SJ HJ]   ,       1,              SH,     2,     0,     1,     0,     0,     3,     1,               -,     0,     0,     2,      0,      0,      3,     1,       0,     4,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13423.16
[HJ CQ SA ST SK S8 HT H8 DK D8]    , [CA S7]   , [HJ SA ST SK S8 S7 CA HT H8 D8]    , [CQ DK]   ,       1,               H,     1,     1,     2,     1,     0,     4,     1,               H,     1,     2,     2,      1,      0,      5,     1,       0,     7,   0.1500,     0.0000,     0.0000,     0.1500,      0.0000,        0.0000,   0.0500, ------  ,   0.1500,    Spades,     14409.93
[CA C9 SA SK SQ S9 HA HK DQ D8]    , [H7 DT]   , [CA C9 SA SK SQ HA HK DT DQ D8]    , [S9 H7]   ,       1,               -,     0,     3,     0,     0,     0,     4,     0,               -,     0,     3,     1,      0,      0,      3,     0,       0,     0,   0.0500,     0.0500,     0.0000,     0.0000,      0.0000,        0.0500,   0.0000, ------  ,   0.0500,     Grand,     13658.14
[SJ CT CK S9 S8 HA HK H8 DA D9]    , [CA H7]   , [SJ HA HK H8 H7 CA CT CK DA D9]    , [S9 S8]   ,       1,               S,     1,     2,     1,     0,     0,     3,     0,               S,     1,     3,     1,      1,      0,      4,     0,       0,     0,   0.8500,     0.2500,     0.0000,     0.2500,      0.8500,        0.0000,   0.0000, ---H--  ,   0.8500,    Hearts,     14986.66
[CJ HJ C8 C7 S9 S8 HK HQ H7 D9]    , [DJ S7]   , [CJ HJ DJ S9 S8 S7 HK HQ H7 D9]    , [C8 C7]   ,       0,              CH,     2,     0,     0,     0,     0,     3,     0,             CHD,     3,     0,     0,      0,      0,      3,     0,       0,     0,   0.2500,     0.0000,     0.0000,     0.2500,      0.2000,        0.0000,   0.1500, ------  ,   0.2500,    Spades,     13359.38
