JacksMask,Aces,Tens,AttachedTens,TenKingSmall,WinProb
12,1,2,0,2,0.0500
0,0,0,0,0,0.0000
10,0,2,0,0,0.0000
2,0,1,0,1,0.0000
5,0,0,0,0,0.0000
0,3,3,2,0,0.6500
4,1,1,0,0,0.0000
6,1,0,0,0,0.0000
4,0,3,0,2,0.0000
4,1,2,1,0,0.0500
11,0,1,0,0,0.1000
0,2,2,1,1,0.0500
12,0,2,0,1,0.0000
2,0,1,0,0,0.0000
10,2,0,0,0,0.9000
1,1,0,0,0,0.0000
0,0,2,0,0,0.0000
8,0,1,0,0,0.0000
0,2,2,1,1,0.0000
1,2,1,0,1,0.0000
6,1,0,0,0,0.0000
2,3,2,1,0,0.2500
2,1,1,0,0,0.0000
4,2,1,1,0,0.2000
0,2,2,0,0,0.0500
10,1,1,0,0,0.0000
5,1,0,0,0,0.3000
5,0,2,0,0,0.0000
10,2,1,0,0,0.1000
2,1,1,1,1,0.0000
8,1,2,1,1,0.0000
8,1,2,0,0,0.0000
11,4,0,0,0,1.0000
1,3,0,0,0,0.0500
8,2,1,1,0,0.0000
8,0,1,0,0,0.0000
8,4,1,1,0,1.0000
12,1,0,0,0,0.0500
6,2,1,0,0,0.0000
8,1,2,1,1,0.0000
3,3,0,0,0,0.7000
8,1,1,0,1,0.1500
4,1,3,1,0,0.9000
12,0,2,0,0,0.0000
9,1,1,0,0,0.0000
0,2,1,0,0,0.0500
1,0,1,0,1,0.0000
5,2,0,0,0,0.1000
15,2,1,1,0,1.0000
0,2,1,1,1,0.0000
10,3,0,0,0,0.9500
8,2,3,2,1,1.0000
0,2,1,0,1,0.0000
6,2,1,0,0,0.4500
10,2,1,0,0,0.1500
11,0,2,0,0,0.6500
1,2,2,1,0,0.0000
1,0,2,0,1,0.0000
0,1,1,0,0,0.0000
8,0,1,0,0,0.0000
2,2,1,1,0,0.0000
0,1,2,0,1,0.0000
0,0,2,0,1,0.0000
6,1,0,0,0,0.0000
0,2,2,2,0,0.0000
4,1,1,0,1,0.0000
8,1,1,1,0,0.6000
8,0,1,0,0,0.0000
0,2,2,1,1,0.0500
5,1,2,1,0,1.0000
4,2,1,0,0,0.9000
8,1,2,0,0,0.0500
8,0,3,0,0,0.0000
0,1,3,0,0,0.0000
1,1,1,0,1,0.2000
8,2,0,0,0,0.9000
3,0,1,0,0,0.0000
4,0,2,0,0,0.0000
6,1,2,0,0,0.0500
0,0,1,0,0,0.0000
5,2,0,0,0,0.6000
4,0,2,0,0,0.0000
0,2,0,0,0,0.0000
1,0,2,0,0,0.0000
10,1,1,0,0,0.5000
8,2,2,1,0,0.7500
0,1,1,0,1,0.0000
10,1,1,1,0,0.0000
8,0,2,0,1,0.0000
9,1,1,0,0,0.1000
7,0,2,0,0,0.5500
7,1,0,0,0,0.0000
8,1,2,0,1,0.0000
9,1,2,0,0,0.0000
5,2,0,0,0,0.6500
2,1,1,0,0,0.0000
3,1,3,1,0,0.1000
3,1,0,0,0,0.0000
4,0,2,0,1,0.0000
14,2,0,0,0,1.0000
