Cards,JacksMask,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,WinProb
[SJ DJ CA CQ C8 S9 HT HQ D9 D8],SD,1,1,0,0,0,0.0000
[CJ HJ CA C8 SA S8 HA DA DT D9],CH,3,2,1,1,1,0.9900
[CA CQ C8 S7 H9 H7 DA DK D9 D7],-,1,0,0,0,1,0.0000
[SJ HJ CA C8 SA HA H8 DK DQ D9],SH,3,0,0,0,0,0.4000
[CJ DJ CQ C9 C7 S9 S7 H7 DK D7],CD,0,1,0,0,0,0.0000
[SA ST SK S8 HA HT HQ H8 DT D8],-,1,3,1,1,1,0.0000
[CJ CK CQ C7 SA SK H8 DA DK D9],C,2,0,0,0,0,0.0000
[CJ SJ HJ DJ CA SA SK S7 HT H9],CSHD,2,1,0,0,1,0.7700
[DJ C9 C7 SA S7 HK HQ DA DQ D8],D,2,0,0,0,0,0.0000
[HJ CA C8 ST SK S8 HT HQ DK DQ],H,1,2,1,1,1,0.0000
[CK SA SK S9 S8 HA HT H9 DT D7],-,2,2,1,0,0,0.0000
[SJ HJ CT CQ C7 SQ HK HQ H8 DQ],SH,1,2,1,0,0,0.0000
[HJ DJ CQ C9 SA SK HA HK H9 D9],HD,2,1,1,0,0,0.3300
[DJ CA CQ SA S7 HT HQ DA DK DQ],D,3,1,0,0,0,0.0400
[SJ DJ ST SK S9 HK HQ H9 H8 D9],SD,1,1,0,0,0,1.0000
[CJ DJ S8 H9 H8 DT DK DQ D8 D7],CD,0,1,0,1,0,0.1000
[DJ CA CT CK C8 SA ST S7 DT D8],D,2,3,2,0,0,0.0100
[CT CQ C7 SA ST HA HT HK HQ D9],-,2,2,2,0,1,0.0000
[CA CQ SA SK S9 S8 HA H8 DA DT],-,4,1,1,0,0,0.7400
[SJ DJ CA HA HQ H9 H8 H7 DA D9],SD,3,1,1,0,0,0.7500
[DJ C8 S9 HT H9 H8 H7 DQ D9 D7],D,0,1,0,0,0,0.0000
[CJ DJ CA CT CK HA HT H7 DT D7],CD,2,3,2,0,0,0.8000
[HJ DJ CK CQ C8 SQ S8 H9 H7 DT],HD,0,1,0,0,0,0.0000
[SJ DJ CT C9 ST S8 S7 HK DK D8],SD,1,2,1,0,0,0.0000
[HJ CQ C8 SA SQ S9 S7 HA HT D8],H,2,1,1,0,0,0.0000
[CA C9 C8 S8 HQ H8 DA DK DQ D7],-,1,0,0,0,1,0.0000
[CJ SJ CK C8 SA HT HQ H9 H8 DA],CS,2,1,0,0,0,1.0000
