Hand                               , Skat      ,       JacksMask,  CntJ,  Aces,  Tens, Att10, MxLen,   TKS,   BestGame,  WinProb,  ProbGrand,  ProbClubs, ProbSpades,  ProbHearts,  ProbDiamonds,     ProbNull, WonMask ,   DurationMs
[CT CQ C9 SK S9 HT HQ H9 DQ D9]    , -         ,               -,     0,     0,     2,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      4053.36
[CA C7 SK SQ HA HT H7 DA DQ D7]    , -         ,               -,     0,     3,     1,     1,     3,     0,      Grand,   0.1000,     0.1000,     0.0000,     0.1000,      0.0000,        0.0000,       0.0000, ------  ,      5649.50
[CJ SJ CK C9 C7 SA HQ H9 DK DQ]    , -         ,              CS,     2,     1,     0,     0,     3,     0,      Clubs,   0.0500,     0.0000,     0.0500,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      8208.95
[CJ CQ SK S9 S8 S7 HK H9 DT DK]    , -         ,               C,     1,     0,     1,     0,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      8779.07
[HJ CK C8 C7 SK S8 HK HQ DK D8]    , -         ,               H,     1,     0,     0,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      9151.05
[CT C8 SA ST SK HT H9 DA DT DQ]    , -         ,               -,     0,     2,     4,     2,     3,     0,      Grand,   0.1000,     0.1000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     10746.07
[SJ CA CT C8 C7 SK HA H7 DK DQ]    , -         ,               S,     1,     2,     1,     1,     4,     0,      Clubs,   0.1000,     0.0000,     0.1000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     14001.35
[CT C8 S9 HT H7 DK DQ DJ D9 D7]    , -         ,               D,     1,     0,     2,     0,     4,     0,       Null,   0.2500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.2500, ------  ,     14661.16
[CJ SJ CA CQ C8 SK HA H7 DT DQ]    , -         ,              CS,     2,     2,     1,     0,     3,     0,      Clubs,   0.4500,     0.2500,     0.4500,     0.1500,      0.1500,        0.3500,       0.0000, ------  ,     15350.03
[CJ SJ CA C9 C8 C7 S9 HT DA D7]    , -         ,              CS,     2,     2,     1,     0,     4,     0,      Clubs,   0.6500,     0.2500,     0.6500,     0.1000,      0.0500,        0.3500,       0.0000, ------  ,      8310.90
[CJ DJ CQ C9 SA ST S9 S7 HQ DT]    , -         ,              CD,     2,     1,     2,     1,     4,     0,      Grand,   0.1500,     0.1500,     0.0500,     0.1000,      0.0000,        0.0000,       0.0000, ------  ,     17107.74
[CJ SJ DJ S9 S8 S7 CQ C8 HA H8]    , -         ,             CSD,     3,     1,     0,     0,     3,     0,     Spades,   0.8500,     0.0000,     0.6000,     0.8500,      0.0500,        0.0000,       0.0000, --S---  ,     18665.08
[CJ CA CT C9 C7 SA S7 H9 H7 D9]    , -         ,               C,     1,     2,     1,     1,     4,     0,      Clubs,   0.1500,     0.1000,     0.1500,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     21480.34
[CA C7 SA S9 S7 HA HT DA DK D9]    , -         ,               -,     0,     4,     1,     1,     3,     0,      Grand,   0.6000,     0.6000,     0.2000,     0.2000,      0.0500,        0.2500,       0.0000, ------  ,      8082.11
[SJ HJ CQ C9 C8 ST S7 HQ DT DQ]    , -         ,              SH,     2,     0,     2,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     22872.70
[CJ DJ CK C9 SK S9 S8 HK D9 D8]    , -         ,              CD,     2,     0,     0,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     23144.55
[CJ CK C9 C8 S9 HT HQ H8 DT DQ]    , -         ,               C,     1,     0,     2,     0,     3,     0,      Clubs,   0.0500,     0.0000,     0.0500,     0.0000,      0.0000,        0.0000,       0.0500, ------  ,     24020.12
[CK CQ SA ST SQ S7 HT HK DT D9]    , -         ,               -,     0,     1,     3,     1,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      9009.15
[CQ C9 S8 S7 HT HQ H8 H7 DA DK]    , -         ,               -,     0,     1,     1,     0,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      2767.33
[SA ST SK S9 S8 CA H9 DK D9 D7]    , -         ,               -,     0,     2,     1,     1,     5,     1,     Spades,   0.0500,     0.0000,     0.0000,     0.0500,      0.0000,        0.0000,       0.0000, ------  ,     26769.57
[CT C8 ST S9 S7 H7 DK DJ D8 D7]    , -         ,               D,     1,     0,     2,     0,     3,     0,       Null,   0.6500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.6500, ------  ,     27219.36
[HJ D9 D7 CQ ST SQ S7 HA HT HQ]    , -         ,               H,     1,     1,     2,     1,     3,     0,   Diamonds,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0500,       0.0000, ------  ,     27916.84
[SJ CT CK SK SQ S8 H9 DA DQ D7]    , -         ,               S,     1,     1,     1,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     27975.84
[CJ HJ SA SQ S7 CK CQ HA DT D8]    , -         ,              CH,     2,     2,     1,     0,     3,     0,     Spades,   0.3000,     0.2500,     0.2000,     0.3000,      0.0000,        0.2000,       0.0000, ------  ,     28447.41
[CJ HJ CA C9 ST S8 HA H8 H7 DK]    , -         ,              CH,     2,     2,     1,     0,     3,     0,      Grand,   0.1000,     0.1000,     0.0500,     0.1000,      0.0500,        0.1000,       0.0000, ------  ,     28787.66
[CT CK C8 C7 SA ST H9 H7 DA DT]    , -         ,               -,     0,     2,     3,     2,     4,     1,      Clubs,   0.2000,     0.1500,     0.2000,     0.0000,      0.1500,        0.0000,       0.0000, ------  ,      4238.20
[HJ CT CK ST S9 HA HT HK H8 D9]    , -         ,               H,     1,     1,     3,     1,     4,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     34112.12
[SJ HJ DK D9 D8 D7 CA CT SQ S8]    , -         ,              SH,     2,     1,     1,     1,     4,     0,   Diamonds,   0.5500,     0.0000,     0.0000,     0.0000,      0.0000,        0.5500,       0.0000, ------  ,     34230.93
