Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb,PlayedCards,DiscardedCards,PostJacksMask,PostTrumpCount,PostAces,PostTens,PostAttachedTens,PostTenKingSmall,PostSkatFulls
[C9 C7 SA ST HQ H9 DA DK D9 D8],-,2,2,1,1,0,0,[DJ S7],2,0.0000,[C7 SA ST S7 HQ H9 DA DK D9 D8],[DJ C9],-,1,2,1,1,0,0
[DJ CT CQ C8 HK H9 DT DQ D8 D7],D,4,0,1,0,0,0,[SK HA],15,0.0000,[CQ C8 SK HA HK H9 DT DQ D8 D7],[DJ CT],-,2,1,1,0,0,1
[CJ CK C9 C8 SK H8 DA DT DK D9],C,4,1,1,1,1,0,[SA D7],11,0.0000,[CJ CK C9 C8 SA SK DA DT DK D7],[H8 D9],C,4,2,1,1,1,0
[CA C7 SK HA HQ H9 H8 DA DT D7],-,2,2,1,1,0,0,[C8 D8],0,0.0000,[C7 SK HA HQ H9 H8 DA DT D8 D7],[CA C8],-,1,2,1,1,0,1
[DJ CA C9 C8 C7 SQ S9 S8 DA DK],D,5,1,0,0,0,0,[CJ HJ],4,1.0000,[CJ HJ DJ CA C9 C8 C7 S8 DA DK],[SQ S9],CHD,7,1,0,0,0,0
[CT CK SA HA HT H9 H8 H7 DT D9],-,2,2,2,1,0,0,[CQ D8],3,0.0000,[CQ SA HA HT H9 H8 H7 DT D9 D8],[CT CK],-,1,2,2,1,0,1
[CJ CA CK C9 S9 HA HK H9 H7 DT],C,4,1,1,0,0,0,[CT S8],10,0.1250,[CJ CA CT CK C9 S8 HA HK H9 H7],[S9 DT],C,5,1,0,0,0,1
[SJ DJ SA ST SK S9 HA H8 DT DQ],SD,2,2,2,1,1,0,[C8 DA],11,0.1500,[SJ DJ C8 SA SK S9 HA DA DT DQ],[ST H8],SD,3,3,1,1,0,1
[SJ CQ SQ S9 S7 H9 H8 DA DK DQ],S,2,1,0,0,0,0,[S8 DT],10,0.0000,[SQ S9 S8 S7 H9 H8 DA DT DK DQ],[SJ CQ],-,0,1,1,1,0,0
[HJ CK C8 S7 HK HQ DA DK D9 D8],H,3,1,0,0,0,0,[S9 H8],0,0.0000,[C8 S9 S7 HK HQ H8 DA DK D9 D8],[HJ CK],-,1,1,0,0,0,0
[DJ CT CQ C8 S9 S8 HK DT D8 D7],D,4,0,1,0,0,0,[ST HQ],13,0.0000,[CQ C8 ST S9 S8 HK HQ DT D8 D7],[DJ CT],-,2,0,2,0,0,1
[SJ HJ DJ CT ST SQ HK DA DK D7],SHD,4,1,1,0,0,0,[CQ C8],3,0.4000,[SJ HJ DJ CT CQ C8 ST DA DK D7],[SQ HK],SHD,6,1,1,0,0,0
[HJ CA C8 C7 ST SQ HA HK HQ D9],H,4,1,1,0,0,0,[CJ S9],2,0.1250,[CJ HJ CA C8 C7 ST SQ S9 HA HK],[HQ D9],CH,5,1,1,0,0,0
[SJ DJ CA SQ S7 HA HK H9 H7 DT],SD,3,1,1,0,0,0,[C9 DQ],3,0.0000,[CA C9 SQ S7 HA HK H9 H7 DT DQ],[SJ DJ],-,2,1,1,0,0,0
[DJ CK C9 C7 SQ S9 S8 S7 DA DT],D,4,1,1,1,0,0,[HT D7],10,0.0000,[C9 C7 SQ S9 S8 S7 HT DA DT D7],[DJ CK],-,2,1,2,1,0,0
[CJ CT CQ SK SQ HT HK H9 DQ D7],C,3,0,1,0,1,0,[S8 D9],0,0.0000,[CQ SK SQ S8 HT HK H9 DQ D9 D7],[CJ CT],-,1,0,1,0,1,1
[CT CK C7 SK S8 S7 HA HK H9 H8],-,3,1,0,0,0,0,[HJ D7],2,0.0000,[CK C7 SK S8 S7 HA HK H9 H8 D7],[HJ CT],-,2,1,0,0,0,1
[SJ HJ DJ CQ C9 SA SK H9 H8 DK],SHD,5,1,0,0,0,0,[CK S9],4,0.5250,[SJ HJ DJ CK CQ C9 SA SK S9 DK],[H9 H8],SHD,6,1,0,0,0,0
[CJ SJ DJ C8 ST SK S7 HT HK DA],CSD,4,1,2,0,1,0,[S9 HA],11,0.4500,[CJ SJ DJ C8 ST S7 HA HT HK DA],[SK S9],CSD,4,2,2,1,0,0
[HJ SQ S7 HQ H8 H7 DT DK DQ D8],H,1,0,1,0,1,0,[S9 D9],0,0.0000,[S9 S7 HQ H8 H7 DT DK DQ D9 D8],[HJ SQ],-,0,0,1,0,1,0
