Hand,Skat,BestGame,ProbNull,SafeSuits,VoidSuits,TotalGaps,Blank8s,Gaps_C,Gaps_S,Gaps_H,Gaps_D
 [CK CQ C9 SA SK S9 S8 S7 HQ H7]    ,[HK DJ],Null,0.05,2,1,4,0,3,0,1,0
 [CK CQ CT C7 HQ HT H7 DA D9 D8]    ,[SQ DQ],Null,0.15,1,1,6,0,2,0,2,2
 [CK CQ CJ CT C7 ST S7 HJ H7 DT]    ,[HT DK],Null,0.15,0,0,4,0,1,1,1,1
 [CJ CT C9 SK S8 S7 H7 DQ D9 D8]    ,[CA HK],Null,0.05,1,0,5,0,2,1,0,2
 [CA CQ CT C7 SJ S8 S7 HQ H9 H7]    ,[DA D9],Null,0.2,2,1,4,0,3,0,1,0
 [C9 S9 S7 HQ H9 H8 DA DK DQ D9]    ,[CK CQ],Null,0.05,1,0,7,0,1,0,2,4
 [C9 C7 HQ HT H9 H8 H7 DQ D9 D7]    ,[SQ ST],Null,0.6,3,1,1,0,0,0,0,1
 [C7 SA SK SJ S9 H9 DA DK D8 D7]    ,[CK C9],Null,0.05,1,0,7,0,0,4,1,2
 [C8 HA HK HQ H9 H7 DA DQ D9 D7]    ,[CK SQ],Null,0.7,1,1,4,1,1,0,1,2
 [CQ C9 SJ ST S8 S7 H7 DK DT D7]    ,[CK HA],Null,0.05,2,0,4,0,2,0,0,2
 [CT C7 SK HJ HT H8 H7 DQ D9 D7]    ,[CA SQ],Null,0.05,1,0,3,0,1,1,0,1
 [SQ ST S8 S7 HT H8 H7 DK D9 D7]    ,[C9 DQ],Null,0.9,3,1,1,0,0,0,0,1
 [C8 ST S7 H9 H7 DA DQ D9 D8 D7]    ,[CA SQ],Null,0.85,2,0,2,1,1,1,0,0
 [C9 C7 SQ S9 S8 HT H9 H7 D8 D7]    ,[CA DK],Null,0.1,3,0,2,0,0,2,0,0
 [CK CJ C8 C7 SK ST S9 HQ DT D8]    ,[DK DQ],Null,0.05,1,0,6,0,0,3,1,2
 [CA CK C9 C7 SQ S8 H9 DT D8 D7]    ,[HK HJ],Null,0.15,1,0,5,0,2,2,1,0
 [C9 S9 HA HQ H8 H7 DA DQ DT D7]    ,[CQ SQ],Null,0.05,0,0,7,0,1,1,2,3
 [C8 SA SQ SJ S9 S7 HJ H8 DT D7]    ,[CK HQ],Null,0.2,1,0,4,1,1,0,2,1
 [CJ CT C8 C7 S8 S7 HJ HT H9 H8]    ,[SQ HK],Null,0.4,3,1,1,0,0,0,1,0
 [C8 C7 SJ S7 HK HQ H9 H7 DJ DT]    ,[SK HJ],Null,0.2,2,0,3,0,0,1,0,2
 [C8 SQ S7 HK HQ HJ H9 H8 DQ D9]    ,[CQ C9],Null,0.05,0,0,5,1,1,1,1,2
 [CT C7 SQ ST S7 HA HJ H8 H7 D7]    ,[DQ DJ],Null,0.4,1,0,4,0,1,2,1,0
 [SK SJ ST S8 HA HT H9 H7 D8 D7]    ,[CQ C7],Null,0.3,2,1,3,0,0,2,1,0
 [CA CT C9 C8 SK SJ S8 S7 HT H9]    ,[DJ DT],Null,0.2,2,1,4,0,2,0,2,0
 [C8 C7 SK SQ S8 S7 DQ DJ D9 D7]    ,[SJ H9],Null,1.0,4,1,0,0,0,0,0,0
 [CA CQ C8 C7 SK SJ ST S8 S7 H8]    ,[DQ DT],Null,0.65,2,1,3,1,2,0,1,0
 [C9 HQ HJ HT H8 H7 DQ DT D9 D7]    ,[CQ S9],Null,0.4,3,1,1,0,1,0,0,0
 [C9 S9 S8 HQ H9 H8 DA DT D9 D7]    ,[CK SQ],Null,0.05,0,0,5,0,1,1,2,1
 [CT HQ H9 H8 H7 DJ DT D9 D8 D7]    ,[CA CK],Null,0.2,3,1,1,0,1,0,0,0
 [C9 SQ S9 S8 S7 DA DQ DJ D8 D7]    ,[HK HT],Null,0.6,3,1,1,0,1,0,0,0
 [CA CQ C9 C7 SJ S9 HT H9 H8 H7]    ,[DK DQ],Null,0.05,2,1,4,0,2,2,0,0
 [CK C9 C8 C7 SJ S8 HT H8 DQ D7]    ,[ST HK],Null,0.15,1,0,5,0,0,2,2,1
 [C9 C8 HT H8 DA DK DQ D9 D8 D7]    ,[S9 HQ],Null,0.45,2,1,3,0,1,0,2,0
 [CT C8 SA ST S8 S7 HT H8 DT D8]    ,[HJ DQ],Null,0.25,0,0,7,0,2,1,2,2
 [C9 C8 SQ S9 S8 HQ HT H8 DQ D7]    ,[CJ SJ],Null,0.05,0,0,6,0,1,1,3,1
 [CJ C9 SQ ST S9 S8 S7 H7 D8 D7]    ,[CQ HQ],Null,0.15,3,0,2,0,2,0,0,0
 [CA CK CQ C8 C7 SJ HK H9 H8 D7]    ,[SK SQ],Null,0.05,1,0,4,0,1,1,2,0
 [C7 ST HT H9 H7 DA DQ D9 D8 D7]    ,[SK SQ],Null,0.15,3,0,1,0,0,1,0,0
 [CJ C9 C8 C7 S8 HK HQ HT H8 H7]    ,[SK DA],Null,0.95,3,1,1,1,0,1,0,0
 [CJ CT C7 S8 HT H8 H7 DK D9 D7]    ,[ST S9],Null,0.2,1,0,3,1,1,1,0,1
 [CT C9 C7 ST S9 S7 HJ H7 DQ D9]    ,[C8 DK],Null,0.1,2,0,3,0,0,0,1,2
 [C8 S9 HK HQ H8 H7 DK DJ D9 D7]    ,[CJ SQ],Null,0.25,1,0,3,1,1,1,1,0
 [SK SQ ST S7 HK HQ HT H9 D9 D8]    ,[CK C9],Null,0.05,1,1,6,0,0,2,3,1
 [CK C7 HT H9 H8 H7 DA DK D9 D7]    ,[CQ SA],Null,0.1,2,1,3,0,1,0,0,2
 [C8 SA SQ S9 S8 HJ HT H7 DT D8]    ,[CQ CT],Null,0.1,0,0,7,1,1,3,1,2
 [C8 SK SJ S8 S7 HQ HT H9 H7 D9]    ,[CJ DK],Null,0.4,2,0,2,1,1,0,0,1
 [C7 SK S7 H8 H7 DQ DJ DT D9 D8]    ,[CK CQ],Null,0.05,2,0,2,0,0,1,0,1
 [C9 SQ ST S9 S8 H9 H8 DK DT D9]    ,[CA DJ],Null,0.05,0,0,6,0,1,1,1,3
 [C7 SK SJ S7 HT H9 H8 H7 DK D9]    ,[CA DJ],Null,0.05,2,0,4,0,0,2,0,2
 [CK CT C7 SQ SJ ST S9 S8 DT D7]    ,[H9 DK],Null,0.15,1,1,4,0,2,1,0,1
 [C7 HQ HJ HT H9 H7 DA DQ DT D8]    ,[SK ST],Null,0.15,3,1,4,0,0,0,0,4
 [SA SQ S8 S7 HJ DQ DT D9 D8 D7]    ,[CK HT],Null,0.25,2,1,3,0,0,2,1,0
 [C9 S7 HA HK HQ HT H7 DT D8 D7]    ,[SA DK],Null,0.45,2,0,3,0,1,0,2,0
 [CA CK C8 C7 HK HQ H9 H8 H7 D7]    ,[ST S9],Null,0.6,3,1,2,0,2,0,0,0
 [CK C8 C7 S9 HJ H9 H8 DK DQ D9]    ,[SQ DT],Null,0.05,0,0,6,0,1,1,1,3
 [C8 HA HK HT H8 H7 DQ DT D9 D8]    ,[CT ST],Null,0.2,2,1,2,1,1,0,0,1
 [S8 S7 HA HK H8 H7 DA DT D9 D8]    ,[CQ C9],Null,0.3,2,1,4,0,0,0,2,2
 [SQ ST S9 S8 HA HQ HT H8 D8 D7]    ,[CK CQ],Null,0.15,2,1,5,0,0,1,4,0
 [C7 SA SK SJ ST S9 S8 S7 HT H7]    ,[CK DQ],Null,0.9,3,1,1,0,0,0,1,0
 [CT C9 C7 S7 HA HQ HT H9 DT D9]    ,[CJ SQ],Null,0.05,2,0,6,0,0,0,4,2
 [CT C8 SQ SJ ST S8 S7 DT D9 D8]    ,[HK HT],Null,0.25,2,1,3,0,2,0,0,1
 [CK C9 C7 SA SK ST S9 S7 H8 D7]    ,[HQ HT],Null,0.45,2,0,2,1,1,0,1,0
 [CK CJ C9 SK SQ ST S8 DQ DJ D9]    ,[CQ H9],Null,0.05,1,1,9,0,3,3,0,3
 [CK C8 SA ST S8 H8 H7 DK D8 D7]    ,[CA H9],Null,0.05,1,0,6,0,2,3,0,1
 [CT C8 H9 H8 DK DQ DJ DT D9 D7]    ,[SK ST],Null,0.65,2,1,3,0,2,0,1,0
 [CA CK CQ C9 C8 HK HT H9 H7 D7]    ,[SA S8],Null,0.5,3,1,2,0,2,0,0,0
 [CK CT C9 S9 S8 HK HT DT D9 D8]    ,[S7 DA],Null,0.05,1,0,6,0,3,0,2,1
 [C9 ST S7 HA HQ HT DK DT D9 D8]    ,[CK CQ],Null,0.05,0,0,6,0,1,1,3,1
 [CA CQ CT C8 C7 HJ HT H9 H7 D8]    ,[SQ DA],Null,1.0,3,1,1,1,0,0,0,1
 [C8 SK ST S8 HA HK HJ H8 H7 D7]    ,[SA DK],Null,0.25,2,0,4,1,1,3,0,0
 [C7 SK SJ ST S8 HA HQ HJ H9 DT]    ,[CT DQ],Null,0.05,1,0,7,0,0,2,4,1
 [CJ ST S7 HK HQ H9 H7 DJ D9 D7]    ,[CT SQ],Null,0.15,1,0,3,0,1,1,1,0
 [CT C7 ST S8 HK H8 DQ DJ D8 D7]    ,[CK SA],Null,0.1,1,0,5,0,1,2,2,0
 [C8 ST S8 HK HJ HT H7 DJ DT D8]    ,[CA S9],Null,0.05,0,0,5,1,1,1,1,2
 [CJ C8 SQ S9 S7 HA HK H8 H7 D8]    ,[DA DQ],Null,0.1,0,0,6,1,2,1,2,1
 [C9 SQ S7 H7 DK DQ DJ DT D9 D8]    ,[CQ HQ],Null,0.1,1,0,3,0,1,1,0,1
 [C9 C8 SA SQ ST H7 DK DJ DT D7]    ,[CQ S9],Null,0.1,1,0,5,0,1,3,0,1
 [SK SQ ST S8 S7 DK DJ D9 D8 D7]    ,[CA CQ],Null,1.0,4,2,0,0,0,0,0,0
 [CT C8 SJ ST H8 H7 DK DJ DT D7]    ,[SQ S9],Null,0.15,1,0,5,0,2,2,0,1
