Hand,Skat,Won,Points,Moves,DurationMs,StartPlayer
"C8 CJ ST HT HA D8 DJ DQ DK DA","SQ DT",false,1,"S9:95, ST:0, SK:100, H7:100, H9:90, HT:0",7638,Right
"CJ S7 S8 ST SJ SQ SA HQ D8 DA","SK H8",false,1,"H7:100, HT:100, HQ:0",3586,Left
"C7 CA S8 SA HT HJ HK D7 D8 DK","C9 H9",false,1,"H7:98, HT:0, HQ:100, C8:100, CJ:100, C7:0, D9:100, D8:0, DA:98, SJ:100, SK:95, S8:0, S7:88, SA:0, SQ:100",17704,Right
"C9 CQ S8 SJ SQ SK H7 H9 HK D8","SA DQ",false,1,"H7:0, HA:100, HQ:98, D7:100, DA:95, D8:0, ST:98, S8:0, S9:100, CJ:93, C9:3, CA:98, S7:95, CK:100, SJ:0",18830,Declarer
"CJ CK CA SJ SK H8 HK D8 D9 DK","SA DQ",false,1,"H8:0, HA:100, HQ:100, D7:98, ST:100, D8:0",6559,Declarer
"C7 C8 CT CJ CA S9 ST SA H9 DK","S7 DA",false,1,"D7:100, DT:100, DK:0",4505,Left
"CK CA S8 S9 SJ SQ D9 DT DJ DQ","H8 HJ",false,1,"S8:0, SK:100, SA:98, S7:100, S9:0, ST:100, C7:90, CQ:95, CK:0",10405,Declarer
"CA S7 SK H7 H9 HT D8 DT DJ DK","HK HA",false,1,"C8:100, CA:0, C7:100",5912,Right
"C8 CT S9 ST SA H7 H8 HK HA DA","C7 CQ",false,1,"S7:100, SK:95, ST:0, D7:100, DA:0, D8:100",6084,Left
"C9 CT CQ CK CA SK SA H7 DT DK","HK HA",false,1,"S7:98, SQ:95, SK:0",3808,Left
"C8 CT S7 S8 S9 H7 H8 HQ D7 DQ","SJ SQ",false,1,"S7:5, SA:98, ST:100, HK:90, HA:100, HQ:10, D8:100, D7:8, DA:93, DT:95, D9:93, DQ:0",17289,Declarer
"C7 C8 CT CA S9 SQ SK H8 HJ DK","S7 ST",false,1,"C7:0, CK:100, CQ:95, D7:98, D8:93, DK:0",7698,Declarer
"CJ CA S7 SQ H9 HK D9 DJ DQ DK","CT HJ",false,1,"D7:100, HA:100, D9:0",4315,Left
"CJ ST SJ SQ SA H7 H8 HA DJ DQ","CQ S9",false,1,"C7:100, CJ:0, CK:100, C9:95, CA:98, HA:0, D7:98, DJ:0, DA:80, HT:85, H9:93, H8:0, S8:80, S7:100, ST:0",19092,Right
"C7 C8 CK ST SQ SK H9 HJ DT DA","CT H7",false,1,"S7:100, ST:0, S9:100",5709,Right
"C9 CA S8 ST SJ SQ SK HK D7 DJ","HJ DQ",false,1,"D7:0, DK:100, DA:100, S7:100, S8:0, C7:100",6881,Declarer
"C9 CA ST SK SA H7 D8 DT DJ DQ","C7 H9",false,1,"HQ:100, H7:0, HJ:98, S9:98, ST:0, S7:100",8496,Right
"C8 CT CJ SK H8 HQ HA D7 D8 DQ","CA DA",false,1,"S7:100, SK:0, S8:100",5208,Right
"C7 C8 CK SJ SA H7 H8 D8 D9 DK","S8 ST",false,1,"CT:100, C8:0, CQ:98, S9:93, S7:95, SJ:0",9414,Right
"C7 CA ST SJ SK H8 D8 D9 DQ DA","HJ DK",false,1,"C7:0, CQ:100, CK:100, S7:100, ST:0, S8:100",6797,Declarer
"C7 C8 CA SQ SK SA H7 H9 HT HA","S7 DJ",false,1,"C7:0, CQ:98, CK:100, D7:100, HA:3, DA:80, C9:88, CT:100, C8:0, H8:100, H7:0, HJ:68, ST:70, S9:98, SQ:0",18804,Declarer
"CT CK CA S7 S8 SJ SK H9 HQ D8","C7 CJ",false,1,"C9:93, CT:0, C8:100",4389,Right
"CJ S8 S9 ST SQ SA H9 HQ HK DQ","CA HA",false,1,"D7:95, DK:100, DQ:0, C7:100, CJ:0, C8:100",8200,Left
"C9 CA S9 SQ SA HT HJ HQ HK HA","D8 DT",false,1,"C9:0, CQ:100, CK:98, S7:100, S9:0, S8:100",7106,Declarer
"CT CQ CK SQ SK H8 HT HJ HK DQ","CJ ST",false,1,"H8:0, H9:100, HA:100, C7:100, CT:0, CA:100, D7:95, DJ:100, DQ:0",9901,Declarer
"C8 CK SA HJ HA D7 D8 D9 DQ DA","HQ DT",false,1,"H7:100, HJ:0, HK:100, S7:98, SQ:98, SA:0",8099,Right
"C8 CJ S7 S9 ST H9 HQ D9 DJ DK","SQ D8",false,1,"H7:100, H8:100, H9:0",5287,Left
"C7 C9 CT CQ CK ST SK H8 H9 D9","DQ DA",false,1,"H8:3, HK:100, HA:100, H7:98, H9:3, HQ:100, D7:100, DJ:98, D9:8, CA:93, CK:15, CJ:100, S8:88, ST:10, S7:100",19098,Declarer
"C7 C8 CT CJ CQ SJ H8 HA D9 DT","S8 H7",false,1,"H9:98, H8:0, HK:100, HT:95, HJ:95, HA:0",8797,Right
"C7 C9 CK H7 HQ HA D7 D9 DJ DQ","CJ S9",false,1,"D7:0, DT:100, DA:95, S7:98, HA:5, SA:100, C8:98, CQ:93, C9:5, CT:90, CK:3, CA:100, HJ:100, HT:70, H7:10, H9:100, H8:95, HQ:0",22212,Declarer
"CA S7 S9 ST SQ SA H7 HQ D7 D8","S8 H9",false,1,"D9:93, DA:100, D8:0, C7:98, CA:0, CT:100",8999,Left
