Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,BlankTens,MaxSuitLen,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb,PlayedCards,DiscardedCards,PostJacksMask,PostTrumpCount,PostAces,PostTens,PostAttachedTens,PostTenKingSmall,PostSkatFulls
[CJ ST S8 S7 HA HK H8 H7 DT D7],C,1,1,2,0,0,4,0,0,[SJ D9],2,0.0000,[CJ ST S8 S7 HA HK H8 H7 DT D7],,-,-,-,-,-,-,-
[HJ DJ CK CQ C9 ST HA H8 DK D7],HD,5,1,1,0,1,3,0,0,[C8 S9],0,0.0000,[HJ DJ CK CQ C9 ST HA H8 DK D7],,-,-,-,-,-,-,-
[HJ DJ CQ SQ S8 H8 DT DK DQ D9],HD,3,0,1,0,0,4,1,0,[CJ SA],13,0.0000,[HJ DJ CQ SQ S8 H8 DT DK DQ D9],,-,-,-,-,-,-,-
[DJ CQ C7 ST S8 HA HK H9 H7 DK],D,3,1,1,0,0,4,0,0,[CK DA],15,0.0000,[DJ CQ C7 ST S8 HA HK H9 H7 DK],,-,-,-,-,-,-,-
[HJ CT SQ S9 HT H9 H7 DT DQ D7],H,2,0,2,0,0,3,0,0,[DK D8],4,0.0000,[HJ CT SQ S9 HT H9 H7 DT DQ D7],,-,-,-,-,-,-,-
[CJ HJ DJ CK C9 ST S9 HA DA DQ],CHD,5,2,1,0,0,2,0,0,[H7 D9],0,0.2000,[CJ HJ DJ CK C9 ST S9 HA DA DQ],,-,-,-,-,-,-,-
[SJ C9 S9 S8 HA HT HK H8 D8 D7],S,2,1,1,1,0,4,1,0,[C7 DQ],3,0.0000,[SJ C9 S9 S8 HA HT HK H8 D8 D7],,-,-,-,-,-,-,-
[DJ CA CT CQ C8 SQ S9 S7 DT D7],D,5,0,1,0,0,4,0,0,[SA SK],15,0.0000,[DJ CA CT CQ C8 SQ S9 S7 DT D7],,-,-,-,-,-,-,-
[CJ C7 SK S8 HA H9 H7 DT D9 D8],C,2,1,1,0,0,3,0,0,[SJ DA],13,0.0000,[CJ C7 SK S8 HA H9 H7 DT D9 D8],,-,-,-,-,-,-,-
[CQ C7 SK S9 S8 HK H9 H8 DA D8],-,2,1,0,0,0,3,0,0,[HA DK],15,0.0000,[CQ C7 SK S9 S8 HK H9 H8 DA D8],,-,-,-,-,-,-,-
