Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb
[CJ SJ HJ CT C8 SK S9 H8 H7 D7],CSH,5,0,0,0,0,0,[DT D8],10,0.0000
[DJ CA CK C9 C7 HA HT H9 DT D8],D,5,1,2,1,0,0,[SJ SQ],5,0.0000
[DJ CA CK C9 HT HQ H9 H7 DA DQ],D,4,1,1,0,0,0,[HJ H8],2,0.0000
[CJ SJ CA CQ HA HK HQ DT DK D7],CS,4,1,1,0,1,0,[S7 DA],11,0.0000
[CT CK SQ S8 HA HT HK HQ DA DT],-,2,2,2,2,0,0,[CA D8],11,0.0000
[CJ CA CT CK C8 SA SK S9 HT DK],C,5,1,1,0,0,0,[C9 D8],0,0.1000
[CJ SJ C9 C7 SQ HT HQ H9 DT D9],CS,4,0,2,0,0,0,[CA DQ],14,0.0000
[CK SA ST HA HT HK HQ H8 H7 DA],-,1,3,2,2,1,0,[SQ DK],7,0.0000
[CJ DJ C9 S8 HA DA DT D9 D8 D7],CD,3,2,1,1,0,0,[SA H8],11,0.0000
[SJ C9 C7 ST SQ S9 HA HK H7 D7],S,3,1,1,0,0,0,[DJ H8],2,0.0000
