Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb
[SJ HJ CT CQ C8 C7 SA S9 H9 D7],SH,6,1,0,0,0,0,[DJ S8],2,0.0000
[DJ CK CQ SA SK S7 HA H9 DA D9],D,3,3,0,0,0,0,[C7 DT],10,0.0000
[CJ SJ CA SA HK HQ H9 H8 DA DT],CS,3,2,1,1,0,0,[S8 D7],0,0.0000
[SJ CK C8 ST SK SQ HK HQ DT D9],S,3,0,2,0,0,0,[CQ S9],3,0.0000
[DJ C9 ST S8 HQ H9 DA DQ D9 D8],D,2,1,1,0,0,0,[CJ H8],2,0.0000
[CJ DJ S7 HT HK H9 DA DK D9 D7],CD,2,1,1,0,1,0,[ST DT],20,0.0000
[CJ SJ CA ST SQ S9 S7 HK HQ D8],CS,3,0,1,0,0,0,[DJ H7],2,0.0000
[CJ CA CK C9 S9 S8 S7 HA HK H7],C,4,1,0,0,0,0,[C8 D7],0,0.0000
[CJ CK CQ C9 C7 HT H9 DA DQ D8],C,5,1,1,0,0,0,[CA S8],11,0.0000
[C8 ST SK S9 HT HQ H9 H8 DA D9],-,1,1,2,0,1,0,[S8 H7],0,0.0000
