Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb
[HJ CA CT C8 SK S9 S7 H9 DA D7],H,3,1,1,0,0,1,[CK HT],14,0.0000
[CJ DJ CA CT CK SQ S7 DA DT DQ],CD,6,1,1,1,0,0,[CQ H9],3,0.9500
[CK C9 SQ S9 S8 S7 H7 D9 D8 D7],-,1,1,0,0,0,1,[CT SA],21,0.0000
[CJ C7 SA ST HA H9 H8 DA DT DK],C,4,3,2,2,0,0,[CQ C9],3,0.9000
[CJ DJ SA SQ HA H9 H7 DA DQ D9],CD,3,3,0,0,0,0,[CT S7],10,0.0600
[DJ CA C9 C8 S9 S7 HQ H9 DA D8],D,6,1,0,0,0,0,[SJ HJ],4,0.6500
[CJ CT CK CQ ST S9 H9 DA DT DQ],C,6,1,1,1,0,1,[SJ CA],13,1.0000
[HJ DJ CT CQ SA SQ HK HQ H8 DT],HD,3,1,1,0,0,0,[C7 D9],0,0.0000
[DJ C9 C8 ST SK SQ HQ H9 H7 DT],D,3,0,2,0,0,0,[SJ CK],6,0.0000
[DJ CT SA ST SK S7 HA HT HQ D7],D,0,2,2,2,1,1,[DQ D8],3,0.0000
[CJ CK C9 SA ST SQ DA DK D8 D7],C,5,2,1,1,0,0,[CQ C7],3,0.5700
[SJ DJ SQ S9 S8 HK H7 DT DQ D8],SD,1,0,1,0,0,0,[C9 D9],0,0.0000
[SJ CA C7 SA HQ H9 H8 DK D9 D7],S,1,1,0,0,0,1,[SK S8],4,0.0000
[SJ C9 S7 HT HK H8 H7 DT DQ D7],S,0,0,2,0,1,0,[S9 S8],0,0.0000
[SK S9 S8 S7 HT HQ H8 H7 DA DK],-,0,1,1,0,0,1,[DJ SA],13,0.0000
[CJ DJ C7 SK SQ S9 S7 H7 DK DQ],CD,1,1,0,0,0,0,[HA D8],11,0.0000
[CJ C8 C7 ST S8 HA DA DT DQ D7],C,2,2,2,1,1,1,[CA DK],15,0.0000
[SJ CT CK C9 C8 SQ S9 HT HK D8],S,3,1,1,0,1,1,[H8 DA],11,0.0000
[SJ CA C7 SA S9 HK HQ H9 DQ D8],S,2,1,0,0,0,0,[CJ H8],2,0.0000
[C8 SQ S9 S7 HA HQ H8 DT DQ D8],-,0,2,1,1,0,1,[CT DA],21,0.0000
[HJ CT C9 C8 C7 S9 S7 DT DQ D9],H,6,1,1,0,0,0,[CK SA],15,0.3900
[SJ DJ C9 C7 S7 HT HK H9 DT DQ],SD,2,0,2,0,1,0,[H7 D8],0,0.0000
[SJ CA CQ ST S7 H8 DA DT D8 D7],S,2,1,2,1,0,1,[CT H7],10,0.0000
[HJ CT C7 ST S7 HK H8 DA DK D9],H,2,1,1,0,0,1,[C8 H7],0,0.0000
[CJ C8 C7 SA ST S8 S7 H8 H7 D9],C,1,2,2,2,0,0,[DA DT],21,0.0000
[CT CQ C9 C7 ST SK HT HQ H7 DK],-,3,0,3,0,0,1,[C8 DT],10,0.0000
[CT C8 SA SK S7 HQ H7 DK DQ D7],-,0,1,0,0,0,1,[SQ H9],3,0.0000
[SJ DJ CA CQ C8 SQ HA HT HQ DK],SD,5,1,2,1,0,0,[C7 DT],10,0.5700
[CJ CA CK CQ SA SQ S8 H9 H7 D9],C,5,1,1,0,0,0,[C9 HT],10,0.0600
[SJ CA CQ C7 SA HK HQ H7 DQ D9],S,4,2,1,1,0,0,[ST HA],21,0.1100
[SJ HJ DJ SA HT HQ H7 DA DK D7],SHD,3,2,1,0,0,0,[C9 SK],4,0.0300
[CT SK SQ HT HK H8 H7 DA DT DQ],-,0,1,2,1,1,1,[S7 H9],0,0.0000
[CA CT CQ C7 SQ S9 S8 H7 D8 D7],-,2,0,1,0,0,2,[HQ DT],13,0.0000
[DJ C9 C8 SK S9 HK H9 DT DK D8],D,1,1,1,0,1,0,[SA HQ],14,0.0000
[CA SQ HA HQ H8 DA DT DQ D9 D8],-,1,2,1,1,0,2,[CT CK],14,0.0000
[CJ DJ CT CK CQ SQ S7 HQ DK D7],CD,3,0,2,0,1,0,[ST DT],20,0.0000
[HJ DJ C9 C8 SA ST S9 S8 HA DT],HD,2,2,2,1,0,0,[HK H9],4,0.0000
[CJ SJ HJ SQ HT HK DK DQ D8 D7],CSH,5,0,1,0,0,0,[CT C9],10,0.1100
[CJ HJ CK SQ H7 DT DQ D9 D8 D7],CH,2,0,2,0,0,0,[C9 ST],10,0.0000
[CA CK C9 C8 SA ST S8 HT DA DQ],-,6,2,1,1,0,1,[SJ DJ],4,0.9700
[CJ CT C8 SA SQ S8 HA HQ H8 DT],C,2,2,1,0,0,1,[CK DK],8,0.0000
[HJ DJ CT ST HT HQ H9 H7 DK D8],HD,2,0,2,0,0,0,[SJ D7],2,0.0000
[CJ HJ DJ CT C7 S9 S7 HQ H7 DA],CHD,4,2,0,0,0,1,[SJ HA],13,0.7500
[SJ CA CQ ST HT HK H8 DT DQ D7],S,1,0,3,0,2,1,[H7 DK],4,0.0000
[HJ DJ CA CT CQ SK HA HK H8 H7],HD,5,1,1,0,0,0,[DT DQ],13,0.1700
[CA C8 ST SK HT HK H8 DA DQ D8],-,1,1,2,0,1,1,[HJ H9],2,0.0000
[CJ SJ CA CK C8 S9 S8 S7 DA D9],CS,5,2,0,0,0,0,[HA H8],11,0.6000
[SJ CK CQ C9 SQ S8 HA DT DQ D8],S,3,1,1,0,0,0,[C7 S7],0,0.0000
[HJ C7 SA S8 HT H9 H8 H7 DQ D8],H,0,1,1,0,0,0,[SK S9],4,0.0000
[CJ HJ C9 ST HT HQ H9 H8 H7 D9],CH,1,0,2,0,0,0,[SQ DQ],6,0.0000
[SJ CT CQ C9 C8 ST HQ H9 H7 D8],S,3,1,1,0,0,1,[S7 HA],11,0.0000
[CJ DJ CT CK C9 C7 S7 HK HQ DK],CD,7,0,0,0,0,0,[CQ H9],3,0.6000
[DJ C8 SK SQ S8 S7 HA HK HQ D7],D,1,1,0,0,0,1,[CA H8],11,0.0000
[HJ DJ CK S7 HK H9 H8 DA DQ D7],HD,1,1,0,0,0,0,[H7 D8],0,0.0000
[SJ DJ C9 C8 SA SQ H8 H7 D8 D7],SD,5,1,0,0,0,0,[CJ DQ],5,0.0900
[SJ DJ CA CQ SA H9 H7 DA DK D7],SD,5,2,1,0,0,0,[C9 HT],10,0.1900
[SJ C7 SA SK S7 HK HQ DA D8 D7],S,1,2,0,0,0,0,[C8 S9],0,0.0000
[SJ HJ C9 C8 SK SQ S7 HK DK D7],SH,3,0,1,0,1,0,[CQ ST],13,0.0000
[C9 C8 ST S8 HT HK H7 DA D8 D7],-,1,1,2,0,1,0,[SJ D9],2,0.0000
[CJ HJ CQ ST S9 S8 HA HK HQ DQ],CH,4,1,1,0,0,0,[CK D7],4,0.0000
[CQ C9 S9 S7 HA HT H7 DK D8 D7],-,1,1,2,1,0,0,[CK ST],14,0.0000
[SJ DJ CK SA ST S8 H8 H7 DQ D8],SD,2,1,1,1,0,0,[C9 HK],4,0.0000
[CJ SJ CA CT S7 HA HQ H8 DQ D8],CS,4,1,1,0,0,0,[DT DK],14,0.0100
[HJ CA CT CQ SK S9 S7 HK DT D8],H,2,0,2,0,1,1,[ST H9],10,0.0000
[CJ CT C8 SA SK S8 H9 DT DQ D9],C,2,1,1,0,0,1,[CA HQ],14,0.0000
[CJ SJ DJ CT C7 SQ S8 HQ H8 DT],CSD,6,0,1,0,0,0,[CK S9],4,0.2000
[CQ C9 SA SK SQ HT HK HQ DK D7],-,1,1,1,0,0,0,[CK S8],4,0.0000
[SJ CT CK CQ C7 S9 HQ DT DQ D8],S,3,0,1,0,0,1,[SQ S8],3,0.0000
[CJ SJ CT SQ S7 HA HT HQ DA DT],CS,4,2,2,2,0,1,[C8 ST],10,0.4700
[CA CK SA SQ S8 HQ DT D9 D8 D7],-,1,2,1,0,0,1,[C9 HA],11,0.0000
[SJ CT C8 ST SK HA H9 H7 DQ D9],S,1,1,1,0,0,1,[DK D8],4,0.0000
