Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb
[CA CT CK C9 ST SQ H9 H8 DA D7],-,4,1,1,0,0,0,[DK DQ],7,0.0000
[DJ CQ C9 C8 C7 SA ST HQ DA D7],D,5,2,1,1,0,0,[DT D9],10,0.3900
[SJ DJ CQ C9 SA HK HQ H9 H7 DT],SD,4,1,1,0,0,0,[HJ CA],13,0.6500
[CJ SA S7 HA H8 DA DT DQ D9 D8],C,1,3,1,1,0,0,[HQ DK],7,0.0000
[CJ HJ DJ SA HA HK H8 DA DT DK],CHD,3,3,1,1,0,0,[HT DQ],13,0.0800
[DJ CK C9 SA SQ S7 H9 H8 H7 DQ],D,3,1,0,0,0,0,[SK D9],4,0.0000
[DJ CA C9 C7 SQ S9 H9 H8 DT D7],D,4,0,1,0,0,0,[CK HT],14,0.0000
[CQ C9 C8 C7 SA HA HK H9 DT D7],-,4,2,1,0,0,0,[S7 DA],11,0.0500
[DJ CA C7 SA SK HK HQ DK D9 D8],D,3,1,0,0,0,0,[S7 D7],0,0.0000
[CJ ST SK S9 S7 HA HQ H7 D9 D8],C,1,1,1,0,1,0,[DT DQ],13,0.0000
[SJ CT C8 ST HT HQ H8 H7 DK DQ],S,3,0,2,0,0,0,[S8 H9],0,0.0000
[HJ DJ CK C9 ST S9 S7 HA DA D8],HD,4,2,1,0,0,0,[C8 SK],4,0.3300
[CJ CA C9 C7 SQ S8 HQ H9 H8 DA],C,4,1,0,0,0,0,[DQ D8],3,0.0000
[SJ DJ CA CK C7 SA S9 S8 HT H7],SD,5,1,1,0,0,0,[DT DQ],13,0.0000
[CA CK C9 SK S9 HQ H8 H7 DT DQ],-,3,0,1,0,0,0,[CJ D8],2,0.0000
[CJ SJ HJ DJ CA CK SQ HQ H7 D9],CSHD,6,0,0,0,0,0,[D8 D7],0,0.4600
[CJ SJ CT CK C9 SK HA HQ DK D9],CS,5,1,0,0,0,0,[DJ H7],2,0.6200
[CQ C7 SA SK SQ S9 S7 H9 H8 DQ],-,2,1,0,0,0,0,[CT S8],10,0.0000
[CT C7 SA HA HK H9 DT DQ D9 D7],-,2,2,1,0,0,0,[C9 HT],10,0.0000
[DJ CT ST S9 HT HK H9 H8 H7 DA],D,2,1,2,0,1,0,[CQ D7],3,0.0000
[SJ HJ C9 S9 S8 S7 HA HT D8 D7],SH,3,1,1,1,0,0,[CK C8],4,0.0200
[CA CQ C8 C7 SA HT HK H7 DQ D7],-,4,1,1,0,1,0,[CT C9],10,0.5800
[CJ C9 SK SQ S9 HQ H7 DA DQ D8],C,2,1,0,0,0,0,[CA CQ],14,0.0000
[SJ DJ CT CQ C9 SQ S9 S7 HK DK],SD,5,0,0,0,0,0,[H8 DA],11,0.0000
[CJ CA CQ C7 SK SQ HA HQ DA D8],C,4,2,0,0,0,0,[ST S7],10,0.0000
[CK CQ C9 C8 SK HK DK DQ D8 D7],-,4,0,0,0,0,0,[HJ HT],12,0.0000
[SJ HJ CQ C9 C7 HQ DA D9 D8 D7],SH,5,1,0,0,0,0,[SA DK],15,0.6100
[CJ SJ HJ CA CT CQ C9 SQ S9 HK],CSH,7,0,0,0,0,0,[H7 D9],0,0.8600
[HJ DJ CT C8 SA S8 S7 H7 DA D7],HD,4,2,0,0,0,0,[DQ D9],3,0.0000
[CJ DJ CK CQ C9 SA SQ S9 HK DQ],CD,5,1,0,0,0,0,[CT D7],10,0.3400
[CK CQ C9 ST S9 HA HT H9 H8 DA],-,3,2,2,1,0,0,[S8 H7],0,0.0000
[DJ CT CQ C9 SA ST SQ HT H7 DA],D,4,2,2,1,0,0,[H9 D7],0,0.0000
[SJ DJ CA CQ C8 HA HT DT D9 D8],SD,5,1,2,1,0,0,[CJ SA],13,0.8800
[DJ CK C9 ST SQ S8 HT H9 DT DK],D,3,0,3,0,0,0,[S7 HK],4,0.0000
[CA CK C7 SA SQ S9 HA HK HQ DT],-,3,2,1,0,0,0,[CJ H8],2,0.0400
[HJ CQ C9 C8 C7 S9 HT H7 DA D7],H,5,1,1,0,0,0,[S8 HK],4,0.0000
[SJ CA CQ SA HA H8 H7 DA DT D7],S,3,3,1,1,0,0,[ST DK],14,0.0600
[CJ DJ CK C8 HA HQ H7 DQ D9 D7],CD,4,1,0,0,0,0,[C7 SA],11,0.0500
[DJ CA C8 HA HQ H9 DA DT DK DQ],D,3,2,1,1,0,0,[CJ CQ],5,0.9900
[CJ SJ CK CQ SK S8 HT HQ H9 H8],CS,4,0,1,0,0,0,[CT ST],20,0.1200
[CA CQ C9 SA ST SQ HK H7 DA D7],-,3,2,1,1,0,0,[HJ C7],2,0.4900
[SJ DJ CK CQ C9 ST S9 S8 HT D9],SD,5,0,2,0,0,0,[CJ D7],2,0.3800
[CJ HJ CK C8 SA SQ HQ DA DT D9],CH,4,2,1,1,0,0,[CT H7],10,0.7100
[SJ CK SA SK S9 S7 H7 DT D8 D7],S,2,1,1,0,0,0,[C8 H8],0,0.0000
[HJ CA CT C8 C7 SQ S9 S8 H7 D9],H,5,0,0,0,0,0,[H9 DQ],3,0.0000
[SJ HJ C7 ST HA HK HQ H7 DA DT],SH,3,2,2,1,0,0,[CA D9],11,0.2300
[SJ HJ CK C8 ST HQ H7 DT D9 D8],SH,4,0,2,0,0,0,[S7 DA],11,0.0000
[CJ HJ C7 SK S8 S7 HT HK H8 DT],CH,3,0,2,0,1,0,[DJ SQ],5,0.0000
[SJ HJ CA CT CK ST SK S8 HT DQ],SH,5,0,2,0,1,0,[C9 SA],11,0.9500
[HJ C9 SK SQ S8 HT H8 DA DT D8],H,2,1,2,1,0,0,[C8 H9],0,0.0000
[CA CT ST SK SQ H7 DA DK D8 D7],-,2,1,1,0,0,0,[CJ H8],2,0.0000
[CJ CQ C7 SQ H8 DT DK D9 D8 D7],C,3,0,1,0,1,0,[SA HT],21,0.0000
[DJ C7 ST SK HA HQ H7 DT D9 D7],D,2,1,2,0,0,0,[C8 H8],0,0.0000
[SJ DJ C9 C8 ST S9 HA HQ H7 DK],SD,4,1,1,0,0,0,[SK S8],4,0.0000
[SJ CK C9 C7 S8 S7 HQ DK D8 D7],S,4,0,0,0,0,0,[C8 SA],11,0.0000
[DJ CA CT CK SA ST SK S8 HK DK],D,4,1,1,1,1,0,[HQ D9],3,0.0000
[CJ CA CQ C7 ST S8 HA HK H9 D8],C,4,1,1,0,0,0,[CT HQ],13,0.2000
[SJ CA C9 C8 SA SK HT HQ H8 H7],S,4,1,1,0,0,0,[S8 D8],0,0.0000
[HJ DJ CK C8 S8 HA HQ H7 DA D9],HD,4,2,0,0,0,0,[SJ C7],2,0.9200
[CK C8 ST SQ S9 H9 H8 D9 D8 D7],-,2,0,1,0,0,0,[SK DK],8,0.0000
[CT SA SQ S9 H9 DA DT DK D9 D7],-,1,2,1,1,1,0,[C7 HA],11,0.0000
[CJ SJ CA CQ C8 C7 SQ HT DQ D9],CS,6,0,1,0,0,0,[CT SK],14,0.4000
[HJ CQ ST SQ HK HQ DA DT DQ D9],H,2,1,2,1,0,0,[C8 SA],11,0.0000
[SJ DJ CA CK ST S9 HK H7 DK DQ],SD,4,0,1,0,0,0,[SA HA],22,0.2900
[DJ CA CK C9 SQ HT HK HQ DA D7],D,4,1,1,0,0,0,[CJ C8],2,0.9500
[HJ CA CK C9 C8 S9 HK H7 DT D9],H,5,0,1,0,0,0,[SJ DQ],5,0.0700
[CJ C8 C7 HT HK H8 DA DT D9 D8],C,3,1,2,1,1,0,[SQ D7],3,0.0000
[CJ HJ DJ CQ C7 SA ST S8 H8 D7],CHD,5,1,1,1,0,0,[HQ DK],7,0.2600
[CJ SJ DJ CT CQ C9 SK H8 DQ D7],CSD,6,0,0,0,0,0,[HQ DA],14,0.7800
[CA CK C9 S8 HT H7 DA DT D8 D7],-,3,1,2,1,0,0,[CQ HA],14,0.0000
[SJ HJ DJ C9 SQ HT H8 DK D8 D7],SHD,4,0,1,0,0,0,[ST DA],21,0.0000
[CJ HJ C8 ST S8 S7 HA HQ DK D9],CH,3,1,1,0,0,0,[S9 HK],4,0.0000
[ST SQ S9 S8 S7 HA HT HK H7 D9],-,0,1,2,1,1,0,[SJ H9],2,0.0000
[CA C9 ST SK S8 H8 H7 DA DT DQ],-,2,1,2,1,1,0,[SQ S7],3,0.0000
[SJ CT CK S7 H9 H8 DA DT DK DQ],S,3,1,1,1,0,0,[C9 D8],0,0.0000
[CA C8 SA SK S8 HT HQ DT DK D7],-,2,1,2,0,1,0,[HJ ST],12,0.0000
[CJ CK C9 SK S9 S7 HQ H8 H7 DA],C,3,1,0,0,0,0,[C8 HA],11,0.0000
[CA C9 SK S8 H9 DT DK D9 D8 D7],-,2,0,1,0,1,0,[SA SQ],14,0.0000
[DJ CA C9 SA SQ S9 S8 H7 DT D9],D,3,1,1,0,0,0,[C8 D7],0,0.0000
[CJ SJ DJ CA CK C8 ST HA DQ D9],CSD,6,1,1,0,0,0,[SK H8],4,0.9900
[DJ CT C7 SK SQ S9 H9 H8 DT D9],D,3,0,1,0,0,0,[S7 DA],11,0.0000
[SJ CK C9 SA S8 S7 H8 H7 DK DQ],S,3,1,0,0,0,0,[CQ C7],3,0.0000
[CJ SJ CK C8 C7 S9 HT HK D8 D7],CS,5,0,1,0,0,0,[SQ DK],7,0.0000
[CQ C9 C8 ST S7 HQ H9 H8 DK DQ],-,3,0,1,0,0,0,[SQ DT],13,0.0000
[CJ DJ CT CQ SK S9 HT DA DQ D8],CD,4,1,1,0,0,0,[HA H9],11,0.3000
[CJ CQ C7 ST SK S8 HQ H7 DA DK],C,3,1,1,0,1,0,[DJ DT],12,0.0000
[CJ SJ HJ CA CT ST SK S8 H7 D9],CSH,5,0,1,0,1,0,[HK HQ],7,0.2500
[SJ HJ CA CT ST SQ HT DQ D8 D7],SH,4,0,2,0,0,0,[CK H8],4,0.0000
[CJ DJ CT C9 SK S9 S8 S7 HA H7],CD,4,1,0,0,0,0,[SJ HK],6,0.4000
[CJ HJ DJ CA CT SK SQ S8 HT DT],CHD,5,0,2,0,0,0,[C9 HA],11,0.8800
[CJ SJ HJ DJ C8 SA S9 S8 HA H7],CSHD,5,2,0,0,0,0,[HQ D7],3,0.9200
[CJ DJ CA CQ SK S7 HQ H8 DQ D7],CD,4,0,0,0,0,0,[ST DT],20,0.0000
[CJ DJ CT CK C9 C7 SA S9 HQ DA],CD,6,2,0,0,0,0,[ST HA],21,0.9400
[CJ CA CK C9 SK S9 S8 HT H9 H8],C,4,0,1,0,0,0,[CT DT],20,0.0000
[CJ HJ CA CT CK ST S9 HK DT DQ],CH,5,0,2,0,0,0,[C8 DK],4,0.4200
[CJ CA CT CK C9 ST SQ HA H8 D9],C,5,1,1,0,0,0,[S9 HT],10,0.5200
[HJ DJ CT CK SA ST SK H9 H8 D9],HD,4,1,1,1,0,0,[C7 S8],0,0.0000
[CJ HJ DJ C9 SA ST HK HQ DQ D7],CHD,4,1,1,1,0,0,[C8 HA],11,0.6100
[HJ CK ST S9 S8 HK H9 H8 DK D8],H,2,0,1,0,0,0,[DA D7],11,0.0000
[SJ CA CQ C9 SQ S9 S8 HT DK D7],S,4,0,1,0,0,0,[CJ DQ],5,0.0000
[DJ C8 C7 ST S8 HK H7 DK DQ D8],D,3,0,1,0,0,0,[S7 HA],11,0.0000
[CJ CK CQ C8 SQ S9 S8 S7 HK DT],C,4,0,1,0,0,0,[SJ DK],6,0.0000
[SJ DJ CA C7 SA HT HK DK DQ D9],SD,4,1,1,0,0,0,[H7 D7],0,0.0000
[SJ CT C8 S9 S8 S7 HK H8 DA DK],S,3,1,0,0,0,0,[C7 D8],0,0.0000
[SK S9 HA HT HK HQ H8 H7 DA D9],-,0,2,1,1,1,0,[DT DQ],13,0.0000
[CJ DJ CK CQ SK S8 S7 HK HQ H9],CD,4,0,0,0,0,0,[HT D8],10,0.0000
[CA CK CQ SQ S7 HA HQ H9 DA DT],-,3,2,1,1,0,0,[DJ CT],12,0.7500
[CJ DJ CA CT C8 SQ S9 HT HQ D8],CD,5,0,1,0,0,0,[S8 DK],4,0.0000
[DJ CT CQ C8 SA SQ S7 HA HQ D8],D,4,2,0,0,0,0,[SJ C9],2,0.7100
[SJ CT CK SK S9 HA HK H7 DA D8],S,3,2,0,0,0,0,[CA SQ],14,0.0000
[CJ CT CQ C9 C8 C7 SK HK DQ D7],C,6,0,0,0,0,0,[HA D9],11,0.1900
[CJ DJ C9 ST S9 HA HK HQ DQ D9],CD,3,1,1,0,0,0,[H9 H7],0,0.0000
[CQ C7 ST S7 HA HT HQ H9 DT D7],-,2,1,3,1,0,0,[C9 DA],11,0.0000
[CJ HJ SK SQ S7 HT H8 DA DK DQ],CH,2,1,1,0,0,0,[HQ DT],13,0.0000
[DJ CT C8 ST S9 S7 HQ H8 DT DQ],D,3,0,2,0,0,0,[CJ SJ],4,0.0000
[SJ DJ CA C7 SA HK H8 H7 DA DQ],SD,4,2,0,0,0,0,[CT SQ],13,0.4500
[CJ SJ CA C9 S9 HQ H7 DT DK DQ],CS,4,0,1,0,0,0,[CQ ST],13,0.0400
[CJ SJ CK SA HQ H7 DK DQ D8 D7],CS,3,1,0,0,0,0,[CA DT],21,0.0000
[CJ HJ DJ CT ST HQ H7 DT DQ D7],CHD,4,0,2,0,0,0,[CA D9],11,0.0700
[CJ CA CT C7 SA HA HK HQ H9 D7],C,4,2,0,0,0,0,[CQ C9],3,0.9700
[HJ CT ST S9 H9 H7 DA DT DK D9],H,2,1,2,1,1,0,[C8 HQ],3,0.0000
[SJ HJ DJ CQ C9 ST S7 HK DA DK],SHD,5,1,1,0,0,0,[CA C7],11,0.8500
[CJ CQ SQ S9 HA H7 DA DT D9 D8],C,2,2,1,1,0,0,[SK H9],4,0.0000
[HJ CA CK CQ S7 HT H7 DQ D9 D7],H,4,0,1,0,0,0,[CT D8],10,0.0000
[HJ DJ CA CK C7 SA ST SQ HA H9],HD,5,2,1,1,0,0,[HK D9],4,0.7700
[DJ CQ C9 C7 SK S8 HT HQ H9 H8],D,4,0,1,0,0,0,[SA DK],15,0.0000
[SJ DJ C8 C7 ST SK HA HT H7 DT],SD,4,1,3,1,0,0,[SQ D8],3,0.0000
[C9 C8 SA SK S9 S8 H8 DA DT DK],-,2,2,1,1,0,0,[CK HA],15,0.0000
[SJ CA C8 C7 ST SK HT HQ H8 DK],S,4,0,2,0,0,0,[HK H7],4,0.0000
[CJ C8 C7 SA S9 S7 HK H9 D9 D8],C,3,1,0,0,0,0,[SQ H7],3,0.0000
[CJ SJ DJ CA CK ST SK S8 S7 DT],CSD,5,0,2,0,1,0,[HT D9],10,0.1600
[HJ CA CQ C8 S8 HQ H9 DA DT DK],H,4,1,1,1,0,0,[ST S7],10,0.0000
[CJ SJ CA ST S9 S7 HA HK D9 D8],CS,3,1,1,0,0,0,[CQ C7],3,0.4100
[CT SA SQ HT HK HQ H9 DT DK D7],-,1,1,2,0,2,0,[HJ CA],13,0.0000
[SJ C9 C7 ST SK S8 HK HQ H7 D8],S,3,0,1,0,1,0,[DA DK],15,0.0000
[HJ DJ CK CQ SK S7 HK HQ DQ D9],HD,4,0,0,0,0,0,[C9 H8],0,0.0000
[CJ CA CQ C8 SK SQ HA HK HQ DA],C,4,2,0,0,0,0,[DJ D8],2,0.4900
[SJ S7 HA HT HQ H9 DA DT DQ D9],S,1,2,2,2,0,0,[HJ SA],13,0.0000
[CJ CA CT CQ SQ HQ H8 DT D9 D7],C,4,0,1,0,0,0,[SJ DQ],5,0.0600
[SJ DJ ST HA HT H8 DK D9 D8 D7],SD,2,1,2,1,0,0,[C8 S8],0,0.0000
[CA CK CQ ST SQ S9 H9 H8 DK D8],-,3,0,1,0,0,0,[CJ SA],13,0.0000
[CJ HJ CT CK C9 SK HT HQ H8 H7],CH,5,0,1,0,0,0,[CQ SA],14,0.6600
[CT C9 C8 C7 S8 S7 HT DT DK D9],-,4,0,2,0,1,0,[DJ D8],2,0.0000
[CJ SJ CK CQ SA HK H9 DK DQ D7],CS,4,1,0,0,0,0,[HQ D8],3,0.0000
