Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb
[DJ CQ C7 S9 S7 H9 H7 DK DQ D7],D,3,0,0,0,0,0,[CT HT],20,0.0000
[CJ CK C8 HK H9 H8 H7 DA DK DQ],C,3,1,0,0,0,0,[C9 D8],0,0.0000
[CJ CK CQ SQ S9 HA HT HK DA DQ],C,3,2,1,1,0,0,[DT D9],10,0.0000
[CJ HJ CA CK C8 HQ H9 DQ D8 D7],CH,5,0,0,0,0,0,[HT DA],21,0.0000
[CK C8 ST S9 HA HT H8 H7 DQ D7],-,2,1,2,1,0,0,[HJ CQ],5,0.0000
[HJ CQ C9 SA SQ HT DA DK DQ D7],H,3,2,1,0,0,0,[CJ DJ],4,0.0000
[CK SQ HT HK HQ H9 H8 H7 DK D7],-,1,0,1,0,1,0,[DJ SK],6,0.0000
[SJ CA CT CK C8 SQ HA HQ DT DQ],S,5,1,1,0,0,0,[CJ DJ],4,0.0000
[DJ CK C9 SK HT HK H7 DA DT D8],D,3,1,2,1,1,0,[CJ CT],12,0.0000
[HJ DJ CQ C9 C7 SQ HQ DA DT DK],HD,5,1,1,1,0,0,[ST SK],14,0.0000
[HJ CA CQ C9 C7 S8 HQ H9 DT D8],H,5,0,1,0,0,0,[CK DK],8,0.0000
[CJ DJ CA CQ C9 ST S7 H9 H8 DK],CD,5,0,1,0,0,0,[HJ C7],2,0.0000
[CA C8 C7 SA SK HA HK H8 DT D7],-,3,2,1,0,0,0,[CK S8],4,0.0000
[CJ CA CK SA SQ HA DA DT DK DQ],C,3,3,1,1,0,0,[DJ SK],6,0.2000
[SJ CT C8 C7 SA SK SQ S8 DT DQ],S,4,1,1,0,0,0,[HA D8],11,0.0000
[SJ CT C9 SA ST S9 S8 HT H8 H7],S,3,1,2,1,0,0,[DJ D8],2,0.0000
[CJ CA CT CQ C8 SA HA HQ H8 D8],C,5,2,0,0,0,0,[S9 HT],10,0.6000
[CJ SJ HJ C9 SK SQ S8 HK H7 D9],CSH,4,0,0,0,0,0,[DJ HQ],5,0.0000
[SJ SK SQ S8 HQ H9 H8 H7 DT D7],S,1,0,1,0,0,0,[DJ C9],2,0.0000
[SJ HJ CK C9 SQ S7 HK D9 D8 D7],SH,4,0,0,0,0,0,[C8 DQ],3,0.0000
[DJ CA CQ C8 SK HA HQ H9 DQ D7],D,4,1,0,0,0,0,[SA D9],11,0.0000
[HJ DJ CT C7 ST S8 HA HK DK D7],HD,4,1,1,0,0,0,[HT DQ],13,0.0000
[SJ C8 C7 SA SK S9 S7 HQ H7 DT],S,3,1,1,0,0,0,[CT D7],10,0.0000
[SJ HJ DJ C9 SQ S9 S7 HA H7 DA],SHD,4,2,0,0,0,0,[ST H8],10,0.1000
[SJ C8 C7 SA S9 S8 S7 HQ H9 D7],S,3,1,0,0,0,0,[HT H7],10,0.0000
[SJ HJ CK C9 SA SQ S9 H9 DK D7],SH,4,1,0,0,0,0,[DJ HA],13,0.0000
[HJ CA CK CQ SK SQ S8 DA DK D7],H,4,1,0,0,0,0,[C9 HA],11,0.0000
[CJ SJ CK ST S7 HQ H8 H7 DK DQ],CS,3,0,1,0,0,0,[HA DA],22,0.0000
[CJ SJ HJ C9 SK S9 S7 HK DT D9],CSH,4,0,1,0,0,0,[HQ H7],3,0.0000
