Pattern,Count,Wins,WinRate
Void,4533,1165,25.700419148466796
8,3078,614,19.948018193632226
K,3045,146,4.794745484400656
A,3017,33,1.0938017898574743
10,2999,374,12.47082360786929
Q,2997,254,8.475141808475142
7,2996,572,19.092122830440587
J,2957,320,10.821778829895164
9,2927,469,16.023231978134607
8-9,1800,269,14.944444444444443
9-A,1776,67,3.772522522522523
7-8,1738,223,12.83084004602992
7-A,1734,105,6.055363321799308
9-K,1734,101,5.824682814302191
10-K,1734,77,4.440599769319493
7-9,1732,268,15.473441108545035
10-Q,1729,85,4.9161364950838635
K-A,1728,1,0.057870370370370364
10-A,1727,48,2.779386218876665
9-10,1712,173,10.105140186915888
7-K,1709,122,7.1386775892334695
8-A,1709,96,5.6173200702165005
J-Q,1709,53,3.10122878876536
7-Q,1708,176,10.304449648711945
J-A,1704,41,2.4061032863849765
Q-K,1704,14,0.8215962441314555
7-10,1702,240,14.101057579318448
8-10,1694,238,14.049586776859504
9-Q,1691,140,8.279124778237728
8-Q,1688,158,9.360189573459715
J-K,1685,42,2.492581602373887
7-J,1678,183,10.905840286054827
9-J,1671,167,9.994015559545183
8-J,1666,195,11.704681872749099
10-J,1664,88,5.288461538461538
8-K,1646,122,7.411907654921021
Q-A,1627,14,0.8604794099569761
7-10-J,872,108,12.385321100917432
9-10-K,865,61,7.0520231213872835
9-Q-A,847,36,4.250295159386068
7-J-A,841,80,9.512485136741974
8-J-A,841,78,9.274673008323424
10-Q-A,840,17,2.0238095238095237
7-10-A,836,85,10.167464114832537
9-J-K,831,56,6.738868832731648
8-Q-A,831,49,5.896510228640193
7-9-K,830,121,14.578313253012048
7-10-K,827,94,11.366384522370012
J-Q-A,827,2,0.24183796856106407
7-8-9,825,114,13.818181818181818
7-J-Q,823,61,7.411907654921021
8-9-J,821,97,11.814859926918391
9-10-A,821,60,7.3081607795371495
10-Q-K,815,24,2.9447852760736195
7-K-A,815,19,2.331288343558282
8-J-Q,812,63,7.758620689655173
Q-K-A,811,1,0.12330456226880394
7-9-Q,810,118,14.5679012345679
8-Q-K,810,40,4.938271604938271
10-J-A,809,32,3.955500618046971
7-8-10,807,139,17.224287484510533
8-10-J,806,102,12.655086848635236
10-K-A,806,7,0.8684863523573202
7-Q-K,805,42,5.217391304347826
9-J-A,804,35,4.353233830845771
10-J-K,802,28,3.4912718204488775
8-9-Q,801,101,12.60923845193508
7-8-A,800,78,9.75
9-K-A,800,9,1.125
7-9-A,799,91,11.389236545682103
8-9-A,797,69,8.657465495608532
9-J-Q,795,46,5.786163522012579
J-Q-K,794,6,0.7556675062972292
10-J-Q,793,24,3.0264817150063053
8-10-K,792,87,10.984848484848484
8-10-A,791,71,8.97597977243995
7-10-Q,789,94,11.913814955640051
7-J-K,789,65,8.238276299112801
7-8-J,788,119,15.101522842639595
8-J-K,788,61,7.741116751269035
9-10-Q,782,54,6.905370843989769
7-8-K,779,89,11.424903722721439
7-9-10,774,105,13.565891472868216
8-9-10,773,96,12.419146183699871
7-9-J,769,134,17.425227568270483
9-10-J,769,51,6.631989596879063
8-9-K,767,83,10.821382007822686
8-K-A,767,22,2.8683181225554106
7-8-Q,765,104,13.594771241830065
8-10-Q,764,88,11.518324607329843
7-Q-A,759,47,6.192358366271409
9-Q-K,755,30,3.9735099337748347
J-K-A,752,5,0.6648936170212766
10-Q-K-A,372,2,0.5376344086021506
7-8-Q-A,353,62,17.56373937677054
7-8-9-J,353,59,16.71388101983003
8-9-Q-K,341,35,10.263929618768328
7-9-10-Q,337,54,16.023738872403563
8-9-10-Q,337,51,15.133531157270031
7-8-J-Q,331,65,19.637462235649547
7-8-J-A,330,51,15.454545454545453
7-9-J-A,329,58,17.62917933130699
7-10-K-A,329,38,11.55015197568389
8-9-10-J,327,50,15.29051987767584
9-10-J-A,325,28,8.615384615384615
7-9-Q-K,324,65,20.061728395061728
7-8-K-A,324,41,12.654320987654321
7-9-J-K,322,74,22.981366459627328
7-9-K-A,320,34,10.625
8-J-Q-K,320,23,7.187499999999999
7-10-J-A,319,38,11.912225705329153
8-J-Q-A,319,32,10.031347962382444
9-J-Q-K,319,20,6.269592476489027
7-8-9-Q,317,60,18.92744479495268
8-9-J-K,317,40,12.618296529968454
10-J-K-A,315,3,0.9523809523809524
7-Q-K-A,314,9,2.8662420382165608
9-Q-K-A,313,3,0.9584664536741214
8-10-J-K,312,38,12.179487179487179
8-10-K-A,312,24,7.6923076923076925
9-J-K-A,312,14,4.487179487179487
8-10-J-Q,310,34,10.967741935483872
7-8-9-10,309,68,22.006472491909385
7-8-10-J,308,61,19.805194805194805
9-10-Q-K,308,16,5.194805194805195
8-9-10-A,307,31,10.097719869706841
7-J-Q-A,307,28,9.120521172638437
9-10-K-A,307,19,6.188925081433225
8-10-Q-A,306,38,12.418300653594772
7-J-Q-K,305,17,5.573770491803279
7-9-J-Q,304,60,19.736842105263158
7-8-9-K,304,47,15.460526315789474
8-Q-K-A,304,8,2.631578947368421
7-10-Q-K,303,33,10.891089108910892
7-8-10-A,303,33,10.891089108910892
7-10-J-Q,301,38,12.624584717607974
8-10-Q-K,301,34,11.295681063122924
7-8-Q-K,300,59,19.666666666666664
7-9-10-K,300,54,18.0
8-9-Q-A,300,46,15.333333333333332
8-10-J-A,300,26,8.666666666666668
9-J-Q-A,300,18,6.0
7-J-K-A,299,19,6.354515050167224
J-Q-K-A,297,0,0.0
7-9-10-J,295,49,16.610169491525422
7-10-Q-A,295,42,14.237288135593221
10-J-Q-A,295,3,1.0169491525423728
8-9-K-A,294,39,13.26530612244898
9-10-J-K,294,18,6.122448979591836
10-J-Q-K,294,2,0.6802721088435374
7-9-10-A,292,59,20.205479452054796
8-9-J-Q,290,39,13.448275862068964
7-9-Q-A,289,47,16.26297577854671
7-8-J-K,288,63,21.875
7-8-9-A,286,41,14.335664335664337
8-9-J-A,286,34,11.888111888111888
